Gene,Target,Target_broad
GH43_20,Alpha-arabinofuranosyl residues,Alpha-arabinofuranosyl residues
GH43_22,Alpha-arabinofuranosyl residues/Beta-xylan,Other
GH43_24,Beta-galactan,Beta-galactan
GH43_26,Alpha-arabinofuranosyl residues,Alpha-arabinofuranosyl residues
GH43_28,Alpha-arabinofuranosyl residues/Beta-xylan,Other
GH43_29,Alpha-arabinofuranosyl residues/Beta-xylan,Other
GH43_3,Beta-galactofuranosyl residues,Beta-galactofuranosyl residues
GH43_30,Beta-galactofuranosyl residues,Beta-galactofuranosyl residues
GH43_31,Beta-galactofuranosyl residues,Beta-galactofuranosyl residues
GH43_34,Beta-galactofuranosyl residues,Beta-galactofuranosyl residues
GH43_37,"Alpha-1,5-arabinan",Alpha-Arabinan
GH43_4,"Alpha-1,5-arabinan",Alpha-Arabinan
GH43_5,"Alpha-1,5-arabinan",Alpha-Arabinan
GH43_9,Alpha-arabinofuranosyl residues,Alpha-arabinofuranosyl residues
GH44,Xyloglucan,Other
GH45,Other,Other
GH47,Alpha-mannan,Alpha-mannan
GH49,Other,Other
GH5,Other,Other
GH5_1,"Beta-1,4-glucan",Beta-glucan
GH5_10,"Beta-1,4-xylan/1-4-mannan",Other
GH5_12,Beta-glucan,Beta-glucan
GH5_13,Other,Other
GH5_18,Beta-arabinofuranose/alpha-arabinofuranose,Other
GH5_2,Other,Other
GH5_24,Other,Other
GH5_25,Other,Other
GH5_27,Other,Other
GH5_28,Other,Other
GH5_29,Other,Other
GH5_31,"Beta-1,3-mannan",Beta-mannan
GH5_32,Other,Other
GH5_34,Arabinoxylan,Arabinoxylan
GH5_39,Other,Other
GH5_4,Other,Other
GH5_42,Other,Other
GH5_46,"Beta-1,4-glucan",Beta-glucan
GH5_5,"Beta-1,4-glucan",Beta-glucan
GH5_7,Beta-mannan,Beta-mannan
GH5_8,"Beta-1,4-mannan",Beta-mannan
GH5_9,Beta-glucan,Beta-glucan
GH50,Other,Other
GH51,Other,Other
GH52,Beta-xylan,Beta-xylan
GH53,Beta-galactan,Beta-galactan
GH54,Other,Other
GH55,"Beta-1,3-glucan",Beta-glucan
GH56,Chondroitin,Chondroitin
GH57,Other,Other
GH59,Beta-galactan,Beta-galactan
GH6,Other,Other
GH62,Alpha-arabinofuranosyl residues,Alpha-arabinofuranosyl residues
GH63,Alpha-glucan,Alpha-glucan
GH65,Alpha-glucan,Alpha-glucan
GH67,Glucuronan,Glucuronan
GH68,Other,Other
GH72,Other,Other
GH73,Peptidoglycan,Peptidoglycan
GH76,Alpha-mannan,Alpha-mannan
GH77,Alpha-glucan,Alpha-glucan
GH78,Rhamnogalacturonan/L-rhamnose residues,Galacturonan
GH79,Glucuronan,Glucuronan
GH8,Other,Other
GH81,Beta-glucan,Beta-glucan
GH84,Beta-N-acetyl-hexosamine,Beta-N-acetyl-hexosamine
GH85,Beta-N-acetyl-hexosamine,Beta-N-acetyl-hexosamine
GH86,Other,Other
GH88,Glucuronan,Glucuronan
GH89,Alpha-N-acetyl-hexosamine,Alpha-N-acetyl-hexosamine
GH9,"Beta-1,3-glucan/Beta-1,4-glucan",Beta-glucan
GH92,Alpha-mannan,Alpha-mannan
GH94,Other,Other
GH95,Alpha-fucan,Alpha-fucan
GH97,Alpha-glucan,Alpha-glucan
GH99,Alpha-mannan,Alpha-mannan
PL1,Pectin,Pectin
PL1_2,Pectin,Pectin
PL1_4,Pectin,Pectin
PL1_5,Pectin,Pectin
PL10_1,Pectin,Pectin
PL10_3,Pectin,Pectin
PL11_1,Rhamnogalacturonan,Galacturonan
PL12,Heparin,Heparin
PL12_2,Heparin,Heparin
PL12_3,Other,Other
PL13,Heparin,Heparin
PL14,Alginate,Alginate
PL14_3,Alginate,Alginate
PL15,Alginate,Alginate
PL15_1,Alginate,Alginate
PL17,Alginate,Alginate
PL17_2,Alginate,Alginate
PL2,Pectin,Pectin
PL22,Galacturonan,Other
PL24,Ulvan,Ulvan
PL25,Ulvan,Ulvan
PL26,Rhamnogalacturonan,Galacturonan
PL29,Chondroitin,Chondroitin
PL33,Chondroitin,Chondroitin
PL33_1,Other,Other
PL33_2,Other,Other
PL35,Chondroitin,Chondroitin
PL38,Beta-glucuronan,Glucuronan
PL39,Alginate,Alginate
PL4,Rhamnogalacturonan,Galacturonan
PL40,Ulvan,Ulvan
PL42,Glucuronan,Glucuronan
PL5,Alginate,Alginate
PL6,Alginate,Alginate
PL6_1,Alginate,Alginate
PL6_2,Alginate,Alginate
PL7,Alginate,Alginate
PL7_3,Alginate,Alginate
PL7_5,Alginate,Alginate
PL8,Chondroitin,Chondroitin
PL8_2,Chondroitin,Chondroitin
PL8_3,Chondroitin,Chondroitin
PL9_2,Other,Other
