Species	Sample	Raw_abund	Rel_abund
species_1130	S26_SRF	1	0.0873362
species_1131	S25_SRF	1	0.0933707
species_1132	S10_BML	1	0.0595948
species_1132	S25_SRF	1	0.0933707
species_1133	S10_SRF	3	0.18105
species_1134	S10_BML	2	0.11919
species_1134	S10_SRF	1	0.06035
species_1135	S25_SRF	1	0.0933707
species_1136	S8_SRF	1	0.13459
species_1137	S25_SRF	1	0.0933707
species_1138	S25_BML	1	0.0981354
species_1139	S25_BML	2	0.196271
species_1139	S25_SRF	1	0.0933707
species_1139	S26_BML	1	0.114025
species_1139	S8_BML	3	0.269058
species_114	S10_BML	1	0.0595948
species_1140	S8_SRF	1	0.13459
species_1141	S10_BML	17	1.01311
species_1141	S10_SRF	51	3.07785
species_1141	S25_BML	2	0.196271
species_1141	S25_SRF	3	0.280112
species_1141	S26_SRF	3	0.262009
species_1141	S8_BML	2	0.179372
species_1142	S10_BML	6	0.357569
species_1142	S10_SRF	1	0.06035
species_1142	S25_BML	2	0.196271
species_1142	S25_SRF	2	0.186741
species_1142	S26_BML	2	0.22805
species_1142	S26_SRF	1	0.0873362
species_1142	S8_BML	7	0.627803
species_1142	S8_SRF	5	0.672948
species_1143	S25_BML	1	0.0981354
species_1143	S8_BML	1	0.0896861
species_1144	S10_SRF	1	0.06035
species_1145	S25_SRF	1	0.0933707
species_1146	S25_BML	1	0.0981354
species_1146	S26_BML	1	0.114025
species_1146	S8_SRF	1	0.13459
species_1147	S10_BML	5	0.297974
species_1147	S10_SRF	4	0.2414
species_1147	S25_BML	2	0.196271
species_1147	S25_SRF	3	0.280112
species_1147	S26_BML	8	0.912201
species_1147	S26_SRF	9	0.786026
species_1147	S8_BML	4	0.358744
species_1147	S8_SRF	5	0.672948
species_1148	S10_BML	1	0.0595948
species_1149	S26_BML	1	0.114025
species_115	S8_BML	1	0.0896861
species_1150	S26_BML	1	0.114025
species_1151	S10_BML	11	0.655542
species_1151	S10_SRF	2	0.1207
species_1151	S25_BML	4	0.392542
species_1151	S25_SRF	11	1.02708
species_1151	S26_BML	9	1.02623
species_1151	S26_SRF	12	1.04803
species_1151	S8_BML	7	0.627803
species_1151	S8_SRF	16	2.15343
species_1152	S25_BML	1	0.0981354
species_1153	S26_BML	1	0.114025
species_1154	S26_BML	1	0.114025
species_1154	S26_SRF	1	0.0873362
species_1155	S10_SRF	1	0.06035
species_1156	S25_SRF	1	0.0933707
species_1157	S10_BML	1	0.0595948
species_1157	S10_SRF	1	0.06035
species_1157	S26_SRF	2	0.174672
species_1158	S26_BML	2	0.22805
species_1158	S26_SRF	1	0.0873362
species_1158	S8_BML	1	0.0896861
species_1159	S25_BML	1	0.0981354
species_1159	S26_SRF	1	0.0873362
species_116	S25_SRF	1	0.0933707
species_116	S8_SRF	1	0.13459
species_1160	S10_SRF	1	0.06035
species_1161	S10_SRF	7	0.42245
species_1161	S26_SRF	1	0.0873362
species_1161	S8_BML	1	0.0896861
